scan,rater_1,rater_2,rater_3,rater_4
sub-7653_ses-baseline__,no,yes,yes,yes
sub-7657_ses-baseline__,yes,yes,yes,yes
sub-7661_ses-baseline__,yes,yes,yes,yes
sub-7680_ses-baseline__,yes,yes,yes,yes
sub-7684_ses-month48__,yes,yes,yes,yes
sub-7685_ses-baseline__,yes,yes,yes,yes
sub-7698_ses-month24__,yes,yes,yes,yes
sub-7698_ses-month48__,yes,yes,yes,yes
sub-7702_ses-baseline__,yes,yes,yes,yes
sub-7703_ses-month24__,yes,yes,yes,yes
sub-7705_ses-month48__,yes,yes,yes,yes
sub-7711_ses-month24__,no,yes,no,no
sub-7715_ses-baseline__,yes,yes,yes,yes
sub-7726_ses-month24__,yes,yes,yes,yes
sub-7737_ses-baseline__,yes,yes,yes,yes
sub-7738_ses-month24__,yes,yes,yes,yes
sub-7746_ses-baseline__,yes,yes,yes,yes
sub-7752_ses-baseline__,no,no,no,no
sub-7752_ses-month24__,no,no,no,no
sub-7753_ses-month24__,no,no,no,no
sub-7757_ses-baseline__,no,no,no,no
sub-7760_ses-month48__,yes,yes,yes,yes
sub-7763_ses-month24__,yes,yes,yes,yes
sub-7774_ses-baseline__,no,no,no,no
sub-7775_ses-baseline__,yes,yes,yes,yes
sub-7778_ses-month24__,yes,yes,yes,yes
sub-7782_ses-month48__,yes,yes,yes,yes
sub-7787_ses-month48__,yes,yes,yes,yes
sub-7792_ses-month24__,yes,yes,yes,yes
sub-7794_ses-baseline__,no,no,no,no
sub-7794_ses-month24__,yes,yes,yes,yes
sub-7802_ses-baseline__,yes,yes,yes,yes
sub-7802_ses-month48__,yes,yes,yes,yes
sub-7808_ses-month24__,yes,yes,yes,yes
sub-7809_ses-baseline__,yes,yes,yes,yes
sub-7825_ses-month24__,yes,yes,yes,yes
sub-7828_ses-baseline__,yes,yes,yes,yes
sub-7830_ses-baseline__,yes,yes,yes,yes
sub-7832_ses-baseline__,yes,yes,yes,yes
sub-7834_ses-baseline__,yes,yes,yes,yes
sub-7835_ses-baseline__,no,no,no,no
sub-7836_ses-month48__,no,no,no,no
sub-7837_ses-baseline__,yes,yes,yes,yes
sub-7840_ses-month24__,yes,yes,yes,yes
sub-7841_ses-baseline__,no,no,no,no
sub-7841_ses-month24__,yes,yes,yes,yes
sub-7842_ses-month24__,yes,yes,yes,yes
sub-7844_ses-month48__,yes,yes,yes,yes
sub-7845_ses-month24__,yes,yes,no,no
sub-7846_ses-month24__,yes,yes,yes,yes
sub-7847_ses-baseline__,no,no,no,no
sub-7847_ses-month24__,no,no,yes,no
sub-7847_ses-month48__,no,no,no,no
sub-7850_ses-baseline__,yes,yes,yes,yes
sub-7852_ses-baseline__,yes,yes,yes,yes
sub-7854_ses-baseline__,yes,yes,yes,yes
sub-7861_ses-month48__,yes,yes,yes,yes
sub-7862_ses-month48__,yes,yes,yes,yes
sub-7863_ses-baseline__,no,no,no,no
sub-7863_ses-month48__,no,no,no,no
sub-7864_ses-month24__,yes,yes,yes,yes
sub-7864_ses-month48__,no,no,yes,no
