scan,rater_1,rater_2,rater_3,rater_4
sub-wrap0200_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0200_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0201_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0201_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0201_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrap0202_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0202_ses-year2_acq-SPGR_,maybe,yes,yes,yes
sub-wrap0202_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrap0204_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0208_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0208_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrap0210_ses-baseline_acq-MPRAGE_,yes,yes,yes,no
sub-wrap0210_ses-year2_acq-unknown_,yes,yes,yes,maybe
sub-wrap0214_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0217_ses-baseline_acq-SPGR_,maybe,yes,yes,no
sub-wrap0217_ses-year2_acq-SPGR_,maybe,yes,yes,no
sub-wrap0217_ses-year3_acq-unknown_,yes,yes,maybe,yes
sub-wrap0217_ses-year4_acq-unknown_,yes,maybe,yes,maybe
sub-wrap0223_ses-baseline_acq-SPGR_,maybe,yes,yes,yes
sub-wrap0224_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0229_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
